A,3580
B,1105
C,2792
D,1182
E,1162
F,276
G,765
H,1203
I,404
J,95
K,260
L,1184
M,1957
N,943
O,939
P,3080
Q,46
R,551
S,2053
T,1584
U,167
V,208
W,104
X,188
Y,54
Z,244
Ё,2
А,1301
Б,1779
В,552
Г,1061
Д,811
Е,107
Ж,423
З,913
И,368
Й,4
К,2446
Л,743
М,1369
Н,499
О,844
П,2125
Р,612
С,1916
Т,1062
У,288
Ф,204
Х,299
Ц,245
Ч,735
Ш,291
Щ,162
Э,238
Ю,148
Я,227
